ID,Name,Overall Rating,No. of Ratings,Work Life Balance,Culture And Values,Senior Leadership,Compensation and Benefits,Career Opportunities,Sector,Industry Name,Website,Glassdoor
690021,BYJU'S,3.7,422,2.9,3.5,3.5,3.8,3.5,Education,K-12 Education,www.byjus.com,https://www.glassdoor.com/Overview/Working-at-BYJU'S-EI_IE690021.htm
1242,Cerner,3.5,2338,3.3,3.6,3.2,3.4,3.6,Information Technology,Computer Hardware & Software,www.cernercareers.com,https://www.glassdoor.com/Overview/Working-at-Cerner-EI_IE1242.htm
115262,Tata Elxsi,3.2,485,3.2,3.2,2.8,2.5,3.2,Information Technology,Enterprise Software & Network Solutions,www.tataelxsi.com,https://www.glassdoor.com/Overview/Working-at-Tata Elxsi-EI_IE115262.htm
8797,Informatica,3.7,909,3.9,3.8,3.4,3.7,3.4,Information Technology,Enterprise Software & Network Solutions,www.informatica.com,https://www.glassdoor.com/Overview/Working-at-Informatica-EI_IE8797.htm
505450,Happiest Minds Technologies,3.5,348,3.7,3.7,3.4,3.4,3.5,Information Technology,IT Services,www.happiestminds.com,https://www.glassdoor.com/Overview/Working-at-Happiest Minds Technologies-EI_IE505450.htm
1651,Microsoft,3.9,17050,3.7,3.8,3.4,4.0,3.7,Information Technology,Computer Hardware & Software,www.microsoft.com,https://www.glassdoor.com/Overview/Working-at-Microsoft-EI_IE1651.htm
145,J.P. Morgan,3.6,12108,3.3,3.5,3.2,3.6,3.5,Finance,Investment Banking & Asset Management,www.jpmorgan.com,https://www.glassdoor.com/Overview/Working-at-J.P. Morgan-EI_IE145.htm
3482,HSBC Holdings,3.3,6315,3.5,3.4,2.9,3.3,3.1,Finance,Banks & Credit Unions,www.hsbc.com,https://www.glassdoor.com/Overview/Working-at-HSBC Holdings-EI_IE3482.htm
2293,Intuit,4.2,3242,4.2,4.5,3.9,4.4,3.9,Information Technology,Computer Hardware & Software,www.intuit.com,https://www.glassdoor.com/Overview/Working-at-Intuit-EI_IE2293.htm
651,Texas Instruments,3.8,2069,3.6,3.9,3.4,3.9,3.6,Manufacturing,Electrical & Electronic Manufacturing,www.ti.com,https://www.glassdoor.com/Overview/Working-at-Texas Instruments-EI_IE651.htm
5782,Australia and New Zealand Banking,3.4,913,3.7,3.3,2.8,3.4,3.1,Finance,Banks & Credit Unions,www.anz.com.au,https://www.glassdoor.com/Overview/Working-at-Australia and New Zealand Banking-EI_IE5782.htm
3076,ABB,3.6,1796,3.6,3.7,3.0,3.3,3.3,Manufacturing,Electrical & Electronic Manufacturing,www.abb.com,https://www.glassdoor.com/Overview/Working-at-ABB-EI_IE3076.htm
3510,Siemens,3.7,4618,3.7,3.6,3.1,3.6,3.4,Manufacturing,Electrical & Electronic Manufacturing,www.siemens.co.uk,https://www.glassdoor.com/Overview/Working-at-Siemens-EI_IE3510.htm
5487,Sapient,3.6,1419,3.0,3.9,3.1,3.5,3.5,Information Technology,IT Services,www.sapient.com,https://www.glassdoor.com/Overview/Working-at-Sapient-EI_IE5487.htm
30653,L&T Infotech,3.1,1961,3.1,3.1,2.6,2.7,3.0,Information Technology,IT Services,www.lntinfotech.com,https://www.glassdoor.com/Overview/Working-at-L&T Infotech-EI_IE30653.htm
2244,McAfee,3.6,869,3.8,3.6,3.3,3.6,3.3,Information Technology,Computer Hardware & Software,www.mcafee.com,https://www.glassdoor.com/Overview/Working-at-McAfee-EI_IE2244.htm
2867,KPMG,3.8,9983,2.9,3.7,3.3,3.2,3.9,Accounting & Legal,Accounting,us-jobs.kpmg.com,https://www.glassdoor.com/Overview/Working-at-KPMG-EI_IE2867.htm
3496,Philips,3.5,2843,3.7,3.5,3.0,3.7,3.3,Health Care,Health Care Services & Hospitals,www.philips.com,https://www.glassdoor.com/Overview/Working-at-Philips-EI_IE3496.htm
237590,Mercedes-Benz Research and Development India,3.4,319,4.1,3.3,2.8,3.4,3.0,Information Technology,IT Services,www.mercedes-benz.co.in,https://www.glassdoor.com/Overview/Working-at-Mercedes-Benz Research and Development India-EI_IE237590.htm
6926,Broadcom,3.5,1977,3.3,3.1,2.9,3.7,3.1,Manufacturing,Electrical & Electronic Manufacturing,www.broadcom.com,https://www.glassdoor.com/Overview/Working-at-Broadcom-EI_IE6926.htm
5807,Yahoo,3.7,3138,4.0,3.9,3.0,3.9,3.5,Information Technology,Internet,www.yahoo.com,https://www.glassdoor.com/Overview/Working-at-Yahoo-EI_IE5807.htm
7866,Manhattan Associates,3.5,585,2.9,3.4,3.2,3.5,3.4,Information Technology,Enterprise Software & Network Solutions,www.manh.com,https://www.glassdoor.com/Overview/Working-at-Manhattan Associates-EI_IE7866.htm
786823,Infosys BPO,3.0,556,3.1,3.3,2.6,2.3,3.1,Business Services,Staffing & Outsourcing,www.infosysbpo.com,https://www.glassdoor.com/Overview/Working-at-Infosys BPO-EI_IE786823.htm
4112,GE Healthcare,3.6,2047,3.5,3.7,3.2,3.6,3.6,Manufacturing,Health Care Products Manufacturing,www.gehealthcare.com,https://www.glassdoor.com/Overview/Working-at-GE Healthcare-EI_IE4112.htm
3363,Samsung Electronics,3.3,2562,2.8,2.9,2.8,3.7,3.2,Information Technology,Computer Hardware & Software,www.samsung.com,https://www.glassdoor.com/Overview/Working-at-Samsung Electronics-EI_IE3363.htm
104111,Yodlee,3.3,330,3.7,3.9,2.9,3.5,3.1,Information Technology,Computer Hardware & Software,www.yodlee.com,https://www.glassdoor.com/Overview/Working-at-Yodlee-EI_IE104111.htm
1090,Adobe,4.0,2665,4.1,4.2,3.6,4.1,3.7,Information Technology,Computer Hardware & Software,www.adobe.com,https://www.glassdoor.com/Overview/Working-at-Adobe-EI_IE1090.htm
582419,SapientNitro,3.5,994,2.9,3.8,3.0,3.5,3.4,Information Technology,Internet,www.sapientrazorfish.com,https://www.glassdoor.com/Overview/Working-at-SapientNitro-EI_IE582419.htm
3453,Alcatel-Lucent,3.4,2414,3.8,3.5,2.9,3.2,3.0,Telecommunications,Telecommunications Services,www.nokia.com,https://www.glassdoor.com/Overview/Working-at-Alcatel-Lucent-EI_IE3453.htm
6191,JDA Software,3.3,738,3.7,3.4,2.8,3.4,2.9,Information Technology,Enterprise Software & Network Solutions,www.jda.com,https://www.glassdoor.com/Overview/Working-at-JDA Software-EI_IE6191.htm
14934,Sonata Software,3.2,356,3.5,3.2,2.7,2.7,3.1,Information Technology,IT Services,www.sonata-software.com,https://www.glassdoor.com/Overview/Working-at-Sonata Software-EI_IE14934.htm
254984,Subex Limited,3.1,258,3.1,3.5,2.8,2.6,2.9,Telecommunications,"Cable, Internet & Telephone Providers",www.subex.com,https://www.glassdoor.com/Overview/Working-at-Subex Limited-EI_IE254984.htm
331369,SLK Group,2.4,262,2.5,2.4,2.2,2.2,2.6,Information Technology,Computer Hardware & Software,www.slkgroup.com,https://www.glassdoor.com/Overview/Working-at-SLK Group-EI_IE331369.htm
550664,LG Soft India,2.8,248,3.5,3.0,2.4,2.7,2.5,Information Technology,IT Services,www.lgsoftindia.com,https://www.glassdoor.com/Overview/Working-at-LG Soft India-EI_IE550664.htm
315,HARMAN,3.4,615,3.3,3.3,3.0,3.3,3.3,Manufacturing,Consumer Products Manufacturing,www.harman.com,https://www.glassdoor.com/Overview/Working-at-HARMAN-EI_IE315.htm
34134,[24]7,3.1,393,3.0,3.3,2.9,3.0,3.0,Business Services,Advertising & Marketing,www.247-inc.com,https://www.glassdoor.com/Overview/Working-at-[24]7-EI_IE34134.htm
447535,Yahoo India,3.8,263,4.1,4.3,2.9,3.5,3.6,Information Technology,Internet,,https://www.glassdoor.com/Overview/Working-at-Yahoo India-EI_IE447535.htm
11695,MetricStream,2.8,270,2.5,2.6,2.7,3.2,2.9,Information Technology,Enterprise Software & Network Solutions,www.metricstream.com,https://www.glassdoor.com/Overview/Working-at-MetricStream-EI_IE11695.htm
240861,OnMobile,3.5,296,4.0,3.7,3.1,3.3,3.1,Telecommunications,Telecommunications Services,www.onmobile.com,https://www.glassdoor.com/Overview/Working-at-OnMobile-EI_IE240861.htm
13463,Ness Technologies,3.0,650,3.4,3.0,2.6,2.6,2.7,Information Technology,IT Services,www.ness-ses.com,https://www.glassdoor.com/Overview/Working-at-Ness Technologies-EI_IE13463.htm
640,Qualcomm,3.6,4003,3.2,3.3,2.9,3.6,3.4,Information Technology,Computer Hardware & Software,www.qualcomm.com,https://www.glassdoor.com/Overview/Working-at-Qualcomm-EI_IE640.htm
